index,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_obj,solve_time
0,2,-1,48,0.335,45,-1.0,1.0,72.94614514645498,27.94614514645498,0.3049,4.3183,61.0
1,4,-1,24,0.4,20,-1.0,1.0,27.611413820349064,7.611413820349064,0.3339,1.4989,62.0
2,7,10,48,0.265,40,1.0,0.0,11.939251214989547,-28.060748785010453,0.4288,1.3398,61.0
3,7,17,48,0.37,30,-1.0,1.0,39.18503286776259,9.185032867762587,0.4497,0.8314,61.0
4,9,-1,24,0.37,20,-1.0,1.0,26.885341148060974,6.885341148060974,0.4121,0.0763,61.0
5,5,-1,36,0.4,31,-1.0,1.0,49.024316065393826,18.024316065393826,0.3534,1.9774,60.0
6,6,-1,36,0.33,52,-1.0,1.0,75.39916464655693,23.399164646556926,0.3874,2.4387,60.0
7,4,10,48,0.4,45,1.0,0.0,16.610928490713974,-28.389071509286026,0.3318,3.4256,60.0
8,4,-1,48,0.39,62,-1.0,1.0,109.35641570351532,47.356415703515324,0.3389,4.5056,60.0
9,7,7,30,0.4,20,1.0,0.0,6.278697443661876,-13.721302556338124,0.427,0.6847,63.0
10,4,24,24,0.38,30,-1.0,1.0,40.640246812190085,10.640246812190085,0.3296,2.3839,60.0
11,6,-1,24,0.33,35,-1.0,1.0,45.38299777042098,10.382997770420978,0.3819,1.7221,61.0
12,5,8,36,0.395,20,-1.0,1.0,22.433556378307046,2.4335563783070455,0.3514,1.2887,61.0
13,3,-1,12,0.41,15,-1.0,1.0,17.947253863214453,2.9472538632144527,0.3158,1.3226,61.0
14,7,5,36,0.38,50,1.0,0.0,9.27377990839494,-40.72622009160506,0.3915,1.2291,62.0
15,5,-1,24,0.32,20,-1.0,1.0,25.697960201835972,5.697960201835972,0.3549,1.2709,61.0
16,4,-1,36,0.39,55,-1.0,1.0,85.9267167923588,30.926716792358803,0.3264,4.452,61.0
17,5,6,48,0.345,90,1.0,0.0,17.14335345707174,-72.85664654292826,0.3444,6.1689,62.0
18,2,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.3041,1.9215,60.0
19,4,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.3392,1.4537,60.0
20,8,-1,12,0.36,30,-1.0,1.0,35.01786439203183,5.017864392031832,0.4516,0.6219,63.0
21,9,-1,12,0.395,30,-1.0,1.0,35.63032900215458,5.630329002154582,0.4091,0.2396,62.0
