rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_profit,solve_time
8,-1,12,0.365,20,-1.0,1.0,23.782672096925634,3.7826720969256336,0.3975,0.4971,37.0
6,16,36,0.38,20,0.8,0.2,16.47745794248438,-3.5225420575156186,0.3514,1.3028,37.0
10,-1,24,0.38,15,-1.0,1.0,20.978667329363596,5.978667329363596,0.4458,-0.1227,36.0
8,3,48,0.38,70,1.0,0.0,5.691179348746644,-64.30882065125336,0.4457,2.08,38.0
4,-1,12,0.465,39,-1.0,1.0,48.710250115769085,9.710250115769085,0.3193,3.4166,37.0
4,-1,30,0.38,50,-1.0,1.0,75.23620231550653,25.23620231550653,0.3092,4.71,37.0
3,-1,48,0.245,60,-1.0,1.0,89.12546143708718,29.125461437087182,0.3014,5.972,37.0
5,-1,12,0.28,30,-1.0,1.0,34.184121141785454,4.184121141785454,0.3396,2.1558,36.0
7,-1,36,0.38,50,-1.0,1.0,80.72215150250524,30.72215150250524,0.4257,1.5105,36.0
3,-1,36,0.335,30,-1.0,1.0,45.79363647446881,15.793636474468812,0.2913,3.3665,37.0
6,-1,48,0.38,50,-1.0,1.0,92.17309120013664,42.17309120013664,0.3643,2.9954,36.0
4,-1,12,0.34,31,-1.0,1.0,36.40673484689129,5.40673484689129,0.3166,2.6335,37.0
6,-1,48,0.335,60,-1.0,1.0,103.1967127214776,43.196712721477596,0.3623,3.4653,36.0
7,-1,48,0.4,58,-1.0,1.0,110.1779926969459,52.17799269694591,0.4206,2.1586,38.0
1,-1,24,0.31,100,-1.0,1.0,131.28726249427757,31.28726249427757,0.2754,12.8283,37.0
7,-1,36,0.38,50,-1.0,1.0,80.72215150250524,30.72215150250524,0.4211,1.8161,38.0
3,-1,12,0.38,20,-1.0,1.0,23.96026851586461,3.960268515864609,0.2947,2.0644,37.0
2,-1,12,0.28,40,-1.0,1.0,45.57882818904728,5.578828189047279,0.2855,4.7663,37.0
9,3,48,0.39,42,-1.0,1.0,42.18226063292779,0.18226063292779315,0.4684,0.6619,37.0
7,-1,48,0.38,40,-1.0,1.0,73.7384729601093,33.738472960109306,0.409,1.5884,34.0
6,-1,12,0.38,20,-1.0,1.0,23.96026851586461,3.960268515864609,0.3583,1.2153,37.0
2,-1,24,0.385,20,-1.0,1.0,28.09619508946701,8.09619508946701,0.2823,2.4807,36.0
6,-1,48,0.38,30,-1.0,1.0,55.303854720081986,25.303854720081986,0.3644,1.6996,37.0
2,-1,12,0.365,30,-1.0,1.0,35.67400814538844,5.6740081453884414,0.2911,3.2794,37.0
8,-1,24,0.34,40,-1.0,1.0,53.96995740982087,13.969957409820871,0.4462,0.8968,37.0
7,-1,48,0.4,24,-1.0,1.0,45.590893529770725,21.590893529770725,0.4069,0.9748,37.0
7,-1,48,0.38,24,-1.0,1.0,44.243083776065575,20.243083776065575,0.4154,0.8965,38.0
8,-1,48,0.4,31,-1.0,1.0,58.88823747595385,27.88823747595385,0.4521,0.8418,37.0
6,7,12,0.38,15,-1.0,1.0,17.05968519892781,2.0596851989278093,0.3691,0.8421,37.0
5,12,12,0.325,30,1.0,0.0,32.0944955461999,2.0944955461999015,0.3345,2.2128,37.0
6,-1,24,0.375,30,-1.0,1.0,41.77081344238549,11.770813442385489,0.3705,1.6361,37.0
4,-1,24,0.38,20,-1.0,1.0,27.971556439151456,7.971556439151456,0.3113,1.8859,37.0
3,-1,24,0.315,25,-1.0,1.0,32.972452868272214,7.972452868272214,0.2976,2.544,36.0
