rating,interest_rate,probability
5,0.22,0.0017
5,0.225,0.0018
5,0.23,0.0036
5,0.235,0.0014
5,0.24,0.0062
5,0.245,0.0028
5,0.25,0.0025
5,0.255,0.0039
5,0.26,0.0033
5,0.265,0.0142
5,0.27,0.0054
5,0.275,0.0196
5,0.28,0.0081
5,0.285,0.0019
5,0.29,0.0122
5,0.295,0.0042
5,0.3,0.0133
5,0.305,0.0091
5,0.31,0.0203
5,0.315,0.0082
5,0.32,0.0075
5,0.325,0.0317
5,0.33,0.0153
5,0.335,0.0406
5,0.34,0.0258
5,0.345,0.0225
5,0.35,0.0266
5,0.355,0.0255
5,0.36,0.0271
5,0.365,0.0437
5,0.37,0.0519
5,0.375,0.0347
5,0.38,0.2393
5,0.385,0.0199
5,0.39,0.022
5,0.395,0.019
5,0.4,0.1095
5,0.405,0.0082
5,0.41,0.008
5,0.415,0.0069
5,0.42,0.0091
5,0.425,0.0038
5,0.43,0.0035
5,0.435,0.0084
5,0.44,0.0037
5,0.445,0.0084
5,0.45,0.0022
5,0.455,0.0069
5,0.46,0.0013
5,0.465,0.0077
5,0.47,0.0005
5,0.475,0.0026
5,0.48,0.0004
5,0.485,0.0025
5,0.49,0.0014
6,0.18,0.0009
6,0.185,0
6,0.19,0.0003
6,0.195,0.0002
6,0.2,0.0004
6,0.205,0.0004
6,0.21,0.0009
6,0.215,0.0005
6,0.22,0.001
6,0.225,0.0009
6,0.23,0.0024
6,0.235,0.001
6,0.24,0.0037
6,0.245,0.0018
6,0.25,0.0017
6,0.255,0.0027
6,0.26,0.0021
6,0.265,0.0112
6,0.27,0.0033
6,0.275,0.0142
6,0.28,0.0062
6,0.285,0.0009
6,0.29,0.0106
6,0.295,0.0041
6,0.3,0.0099
6,0.305,0.0078
6,0.31,0.0143
6,0.315,0.0061
6,0.32,0.0064
6,0.325,0.0283
6,0.33,0.0118
6,0.335,0.0397
6,0.34,0.0233
6,0.345,0.015
6,0.35,0.0226
6,0.355,0.0252
6,0.36,0.023
6,0.365,0.0453
6,0.37,0.0507
6,0.375,0.034
6,0.38,0.2922
6,0.385,0.0204
6,0.39,0.0216
6,0.395,0.0191
6,0.4,0.1317
6,0.405,0.0059
6,0.41,0.0067
6,0.415,0.0068
6,0.42,0.0071
6,0.425,0.0032
6,0.43,0.0033
6,0.435,0.0084
6,0.44,0.0037
6,0.445,0.0088
6,0.45,0.0019
6,0.455,0.0074
6,0.46,0.0013
6,0.465,0.0075
6,0.47,0.0008
6,0.475,0.0032
6,0.48,0.0003
6,0.485,0.0028
6,0.49,0.0014
7,0.18,0.0002
7,0.185,0
7,0.19,0
7,0.195,0.0001
7,0.2,0.0002
7,0.205,0
7,0.21,0.0002
7,0.215,0.0002
7,0.22,0.0002
7,0.225,0.0003
7,0.23,0.0012
7,0.235,0.0002
7,0.24,0.0017
7,0.245,0.0007
7,0.25,0.0006
7,0.255,0.0014
