index,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_obj,solve_time
48,3,-1,12,0.325,14,-1.0,1.0,16.058449570867463,2.058449570867463,0.3151,1.2231,59.0
49,7,-1,36,0.4,50,-1.0,1.0,79.07147752482875,29.07147752482875,0.4467,1.4272,61.0
50,3,-1,48,0.3,71,-1.0,1.0,108.85341269546664,37.853412695466645,0.3119,6.4745,62.0
51,5,-1,48,0.315,95,-1.0,1.0,149.19907765768107,54.19907765768107,0.3571,5.8545,59.0
52,4,-1,24,0.4,50,-1.0,1.0,69.02853455087266,19.028534550872664,0.3265,4.0143,60.0
53,8,-1,12,0.365,20,-1.0,1.0,23.403346381443185,3.4033463814431855,0.4534,0.3646,59.0
54,6,16,36,0.38,20,0.8,0.2,16.040841463251585,-3.959158536748415,0.3759,1.0514,59.0
55,10,-1,24,0.38,15,-1.0,1.0,20.344678071662543,5.344678071662543,0.4591,-0.0297,60.0
56,8,3,48,0.38,70,1.0,0.0,5.6699700285162695,-64.33002997148373,0.4207,0.9726,60.0
57,4,-1,12,0.465,39,-1.0,1.0,47.93333781587318,8.93333781587318,0.3281,3.0909,60.0
58,4,-1,30,0.38,50,-1.0,1.0,72.43759135585663,22.437591355856625,0.3311,3.8479,59.0
59,3,-1,48,0.245,60,-1.0,1.0,83.9995599960806,23.999559996080606,0.3115,5.4806,59.0
60,5,-1,12,0.28,30,-1.0,1.0,33.63889577108699,3.638895771086993,0.3563,1.8845,60.0
61,7,-1,36,0.38,50,-1.0,1.0,77.16463862368614,27.164638623686145,0.4326,1.1193,61.0
62,3,-1,36,0.335,30,-1.0,1.0,43.77546118437105,13.775461184371053,0.3188,2.5793,61.0
63,6,-1,48,0.38,50,-1.0,1.0,86.8719104445304,36.8719104445304,0.3831,2.5101,60.0
64,4,-1,12,0.34,31,-1.0,1.0,35.826059526309386,4.826059526309386,0.3356,2.2621,60.0
65,6,-1,48,0.335,60,-1.0,1.0,97.26152686193998,37.261526861939984,0.3905,2.6986,60.0
66,7,-1,48,0.4,58,-1.0,1.0,103.84129022802071,45.84129022802071,0.4435,1.6884,60.0
67,1,-1,24,0.31,100,-1.0,1.0,127.31967423962007,27.31967423962007,0.295,10.5286,59.0
68,7,-1,36,0.38,50,-1.0,1.0,77.16463862368614,27.164638623686145,0.3948,1.2677,60.0
69,3,-1,12,0.38,20,-1.0,1.0,23.578110196526445,3.5781101965264455,0.3128,1.8245,59.0
70,2,-1,12,0.28,40,-1.0,1.0,44.851861028116,4.851861028115998,0.3058,3.7987,57.0
71,9,3,48,0.39,42,-1.0,1.0,39.84659508797177,-2.153404912028229,0.4464,0.0681,59.0
72,7,-1,48,0.38,40,-1.0,1.0,69.49752835562431,29.49752835562431,0.363,1.0221,60.0
73,6,-1,12,0.38,20,-1.0,1.0,23.578110196526445,3.5781101965264455,0.4035,0.8237,60.0
74,2,-1,24,0.385,20,-1.0,1.0,27.247109416419374,7.247109416419374,0.3057,1.937,59.0
75,6,-1,48,0.38,30,-1.0,1.0,52.12314626671824,22.123146266718237,0.2748,1.1997,60.0
76,2,-1,12,0.365,30,-1.0,1.0,35.10501957216478,5.105019572164778,0.3032,2.9588,59.0
77,8,-1,24,0.34,40,-1.0,1.0,52.33894945782778,12.33894945782778,0.4353,0.6614,59.0
78,7,-1,48,0.4,24,-1.0,1.0,42.96880974952582,18.968809749525818,0.4418,0.7165,60.0
79,7,-1,48,0.38,24,-1.0,1.0,41.698517013374584,17.698517013374584,0.4266,0.726,60.0
80,8,-1,48,0.4,31,-1.0,1.0,55.50137925980417,24.501379259804168,0.4474,0.6168,61.0
81,6,7,12,0.38,15,-1.0,1.0,16.79433338575094,1.7943333857509387,0.3849,0.7288,60.0
82,5,12,12,0.325,30,1.0,0.0,31.62138942327007,1.6213894232700703,0.3527,1.8932,60.0
83,6,-1,24,0.375,30,-1.0,1.0,40.50847172200175,10.508471722001751,0.294,1.1045,59.0
